Alpha,FZ Takeoff,FZ Cruise,CM ->,CM Takeoff M1,CM M1 Cruise,CM M2 Cruise,CM M2 Takeoff,CM M3 cruise,CM M3 takeoff,CD ->,CD cruise,CD Takeoff,CL ->,CL Takeoff,CL cruise,
13.5,249.3949,569.1384,,-0.62837,-0.46864,-0.15567,-0.04757,-0.15567,-0.04757,,0.118082,0.454379,,2.136922,1.181931,
14,252.2353,583.6626,,-0.64092,-0.48193,-0.16132,-0.05373,-0.16132,-0.05373,,0.124388,0.463309,,2.16126,1.212094,
14.5,255.0335,598.0668,,-0.65328,-0.49506,-0.16691,-0.05983,-0.16691,-0.05983,,0.13082,0.472256,,2.185236,1.242007,
15,257.7891,612.3484,,-0.66546,-0.50803,-0.17244,-0.06588,-0.17244,-0.06588,,0.137373,0.481212,,2.208847,1.271666,
15.5,260.5017,626.5046,,-0.67746,-0.52083,-0.1779,-0.07188,-0.1779,-0.07188,,0.144042,0.490173,,2.23209,1.301064,
16,263.1711,640.5328,,-0.68925,-0.53347,-0.18329,-0.07783,-0.18329,-0.07783,,0.150821,0.499133,,2.254963,1.330196,
16.5,265.797,654.4303,,-0.70086,-0.54593,-0.18861,-0.08372,-0.18861,-0.08372,,0.157707,0.508085,,2.277462,1.359057,
17,268.379,668.1948,,-0.71226,-0.55822,-0.19387,-0.08955,-0.19387,-0.08955,,0.164694,0.517024,,2.299586,1.387642,
17.5,270.9168,681.8237,,-0.72346,-0.57033,-0.19905,-0.09531,-0.19905,-0.09531,,0.171777,0.525944,,2.321331,1.415945,
18,273.4104,695.3146,,-0.73445,-0.58226,-0.20416,-0.10102,-0.20416,-0.10102,,0.17895,0.534838,,2.342697,1.443962,
18.5,275.8593,708.6653,,-0.74524,-0.594,-0.20919,-0.10667,-0.20919,-0.10667,,0.18621,0.543701,,2.36368,1.471687,
19,278.2634,721.8735,,-0.75581,-0.60555,-0.21415,-0.11224,-0.21415,-0.11224,,0.19355,0.552526,,2.38428,1.499117,
19.5,280.6226,734.9371,,-0.76616,-0.61691,-0.21903,-0.11776,-0.21903,-0.11776,,0.200964,0.561308,,2.404494,1.526246,
20,282.9366,747.8539,,-0.7763,-0.62807,-0.22384,-0.1232,-0.22384,-0.1232,,0.208448,0.570041,,2.424322,1.553071,
