Velocity (m/s),Thrust (kgf)
0,5.250744139
0.827157411,5.224043474
1.654314822,5.194735428
2.481472232,5.16459709
3.308629643,5.131786357
4.135787054,5.097537077
4.962944465,5.060708142
5.790101875,5.021707476
6.617259286,4.98056879
7.444416697,4.936309919
8.271574108,4.890474466
9.098731519,4.8400745
9.925888929,4.788966886
10.75304634,4.73224261
11.58020375,4.674220407
12.40736116,4.611525693
13.23451857,4.546691861
14.06167598,4.477811103
14.88883339,4.405133527
15.7159908,4.329161347
16.54314822,4.248475408
17.37030563,4.164789742
18.19746304,4.076265715
19.02462045,3.983963436
19.85177786,3.88778672
20.67893527,3.786911157
21.50609268,3.682811259
22.33325009,3.573909855
23.1604075,3.461311402
23.98756491,3.345249359
24.81472232,3.223835079
25.64187973,3.101424196
26.46903714,2.975234139
27.29619456,2.844460372
28.12335197,2.713020013
28.95050938,2.575496258
29.77766679,2.439056915
30.6048242,2.297324483
31.43198161,2.155788433
32.25913902,2.012626918
33.08629643,1.866195423
33.91345384,1.722966361
34.74061125,1.571646681
35.56776866,1.430493339
36.39492607,1.276380564
37.22208348,1.135093061
38.0492409,0.982437076
38.87639831,0.84564254
39.70355572,0.705062673
40.53071313,0.558354954
41.35787054,0.415671894
42.18502795,0.258011162
43.01218536,0.104378246
