Velocity (m/s),Thrust (kgf)
0,4.247706422
0.851360728,4.2387024
1.702721457,4.229176139
2.554082185,4.219029573
3.405442914,4.208338965
4.256803642,4.196768145
5.10816437,4.184553339
5.959525099,4.171245466
6.810885827,4.157090571
7.662246556,4.141525325
8.513607284,4.124911261
9.364968012,4.106696066
10.21632874,4.087170398
11.06768947,4.065697918
11.9190502,4.042621903
12.77041093,4.017260914
13.62177165,3.990036633
14.47313238,3.960263839
15.32449311,3.927476352
16.17585384,3.891890286
17.02721457,3.85533707
17.8785753,3.813806962
18.72993602,3.771534995
19.58129675,3.723373662
20.43265748,3.674794683
21.28401821,3.619399192
22.13537894,3.56384415
22.98673967,3.501024178
23.8381004,3.438123592
24.68946112,3.367600756
25.54082185,3.296537802
26.39218258,3.217840888
27.24354331,3.138359331
28.09490404,3.052118491
28.94626477,2.963919423
29.79762549,2.870518116
30.64898622,2.771566758
31.50034695,2.672858488
32.35170768,2.569597363
33.20306841,2.463952397
34.05442914,2.355653982
34.90578986,2.24411915
35.75715059,2.130959631
36.60851132,2.015071271
37.45987205,1.898159726
38.31123278,1.779661687
39.16259351,1.659490942
40.01395423,1.539455234
40.86531496,1.416467652
41.71667569,1.295839717
42.56803642,1.171201126
43.41939715,1.051431486
44.27075788,0.92525092
45.1221186,0.810839706
45.97347933,0.698169522
46.82484006,0.568279418
47.67620079,0.459450452
48.52756152,0.328634759
49.37892225,0.198636328
50.23028298,0.07186879
