Velocity (m/s),Thrust (kgf)
0,7.318450561
0.851360728,7.308250996
1.702721457,7.298051432
2.554082185,7.287438413
3.405442914,7.275911768
4.256803642,7.264385123
5.10816437,7.251764222
5.959525099,7.23848144
6.810885827,7.225198658
7.662246556,7.209742132
8.513607284,7.194120494
9.364968012,7.177786228
10.21632874,7.159207096
11.06768947,7.140627964
11.9190502,7.119953907
12.77041093,7.097583116
13.62177165,7.075212324
14.47313238,7.048877302
15.32449311,7.021918602
16.17585384,6.99399222
17.02721457,6.961523197
17.8785753,6.929054174
18.72993602,6.893429987
19.58129675,6.85441381
20.43265748,6.815397633
21.28401821,6.770394439
22.13537894,6.723832859
22.98673967,6.676379332
23.8381004,6.621324435
24.68946112,6.566269538
25.54082185,6.507313302
26.39218258,6.442893005
27.24354331,6.378472709
28.09490404,6.306676695
28.94626477,6.232126607
29.79762549,6.157195614
30.64898622,6.071579941
31.50034695,5.985964267
32.35170768,5.896386907
33.20306841,5.799320421
34.05442914,5.702253936
34.90578986,5.597508654
35.75715059,5.488763857
36.60851132,5.38001906
37.45987205,5.260104043
38.31123278,5.139832601
39.16259351,5.016515351
40.01395423,4.88539045
40.86531496,4.754265548
41.71667569,4.617270943
42.56803642,4.476145373
43.41939715,4.335019803
44.27075788,4.186774143
45.1221186,4.037724004
45.97347933,3.887351873
46.82484006,3.73200758
47.67620079,3.576663286
48.52756152,3.41886667
49.37892225,3.258820719
50.23028298,3.098774767
51.0816437,2.936088144
51.93300443,2.772872646
52.78436516,2.609306047
53.63572589,2.443572606
54.48708662,2.277839165
55.33844735,2.111678223
56.18980807,1.944996868
57.0411688,1.778315512
57.89252953,1.6119522
58.74389026,1.445687927
59.59525099,1.279555699
60.44661172,1.115073506
61.29797244,0.950591313
62.14933317,0.787439763
63.0006939,0.62640798
63.85205463,0.465376197
64.70341536,0.308072326
65.55477609,0.152387522
