Velocity,Thrust
28.4,6.445030062
28.5,6.415235309
28.6,6.385440556
28.7,6.355645803
28.8,6.32585105
28.9,6.296056297
29,6.266261544
29.1,6.236466791
29.2,6.206672038
29.3,6.176877285
29.4,6.147082531
29.5,6.117287778
29.6,6.087428756
29.7,6.05756394
29.8,6.027699123
29.9,5.997834307
30,5.967190381
30.1,5.936495628
30.2,5.905800875
30.3,5.875106121
30.4,5.844411368
30.5,5.813716615
30.6,5.783021862
30.7,5.752327109
30.8,5.721632355
30.9,5.690937602
31,5.660242849
31.1,5.629548096
31.2,5.598853343
31.3,5.56815859
31.4,5.537436892
31.5,5.506688225
31.6,5.475698091
31.7,5.444168842
31.8,5.412639593
31.9,5.381110344
32,5.349581096
32.1,5.318051847
32.2,5.286522598
32.3,5.254993349
32.4,5.2234641
32.5,5.191934851
32.6,5.160405602
32.7,5.128876354
32.8,5.097347105
32.9,5.065817856
33,5.034288607
33.1,5.002759358
33.2,4.971228301
33.3,4.939314444
33.4,4.907272726
33.5,4.875231008
33.6,4.84318929
33.7,4.811147572
33.8,4.779105854
33.9,4.747064136
34,4.715022418
34.1,4.6829807
34.2,4.650938982
34.3,4.618897264
34.4,4.586855546
34.5,4.554813829
34.6,4.522772111
34.7,4.490730393
34.8,4.458688675
34.9,4.426602506
35,4.394093949
35.1,4.361558725
35.2,4.329003818
35.3,4.296448911
35.4,4.263894004
35.5,4.231339098
35.6,4.198784191
35.7,4.166229284
35.8,4.133674377
35.9,4.10111947
36,4.068564563
36.1,4.036009656
36.2,4.003454749
36.3,3.970899842
36.4,3.938344935
36.5,3.905790028
36.6,3.873038963
36.7,3.840062936
36.8,3.807086909
36.9,3.774106229
37,3.741100721
37.1,3.708095213
37.2,3.675089706
37.3,3.642084198
37.4,3.60907869
37.5,3.576073182
37.6,3.543067674
37.7,3.510062166
37.8,3.477056658
37.9,3.44405115
38,3.411045642
38.1,3.378040134
38.2,3.345034626
38.3,3.311965984
38.4,3.278888821
38.5,3.245811658
38.6,3.212734496
38.7,3.179657333
38.8,3.146557035
38.9,3.113446611
39,3.080336187
39.1,3.047225763
39.2,3.014115339
39.3,2.981004915
39.4,2.947894491
39.5,2.914784067
39.6,2.881673643
39.7,2.848563219
39.8,2.815452795
39.9,2.782329316
40,2.749167021
40.1,2.716004726
40.2,2.682842431
40.3,2.649680136
40.4,2.616517841
40.5,2.583355546
40.6,2.550189112
40.7,2.517011932
40.8,2.483834752
40.9,2.450657572
41,2.417480392
41.1,2.384303212
41.2,2.351126032
41.3,2.317948852
41.4,2.284771672
41.5,2.251594491
41.6,2.218461812
41.7,2.185356147
41.8,2.152250482
41.9,2.119144817
42,2.086039152
42.1,2.052933487
42.2,2.019827821
42.3,1.986722156
42.4,1.953616491
42.5,1.920497376
42.6,1.887375225
42.7,1.854253074
42.8,1.821130923
42.9,1.788008771
43,1.75488662
43.1,1.721764469
43.2,1.688657162
43.3,1.655930336
43.4,1.623203509
43.5,1.590476682
43.6,1.557749855
43.7,1.525023029
43.8,1.492296202
43.9,1.459569375
44,1.426842548
44.1,1.394115722
44.2,1.361388895
44.3,1.328662402
44.4,1.295936414
44.5,1.263210426
44.6,1.230484437
44.7,1.197758449
44.8,1.165032461
44.9,1.132549933
45,1.100420461
45.1,1.06829099
45.2,1.036161519
45.3,1.004032047
45.4,0.971902576
45.5,0.939773105
45.6,0.907643633
45.7,0.875514162
45.8,0.843384691
45.9,0.811255219
46,0.779125748
46.1,0.746996277
46.2,0.714870538
46.3,0.682745055
46.4,0.650619572
46.5,0.618494088
46.6,0.586770794
46.7,0.555161783
46.8,0.523552773
46.9,0.491943763
47,0.460334753
47.1,0.428725743
47.2,0.397116733
47.3,0.365507723
47.4,0.333898713
47.5,0.302289703
47.6,0.270680693
47.7,0.239071683
47.8,0.207462673
47.9,0.175853663
48,0.14425694
48.1,0.112671627
