Alpha,M1 Cruise, , Alpha,M1 Dynamic, , Alpha,M1 Takeoff, , Alpha,M2 Cruise, , Alpha,M2 Dynamic, , 
         10.5,     0.9058615, , , , ,          10.5,      1.788943, ,          10.5,     0.9058615, , , , , 
           11,     0.9423993, , , , ,            11,      1.819756, ,            11,     0.9423993, , , , , 
         11.5,     0.9787545, , , , ,          11.5,      1.850277, ,          11.5,     0.9787545, , , , , 
           12,       1.01492, , , , ,            12,        1.8805, ,            12,       1.01492, , , , , 
         12.5,       1.05089, , , , ,          12.5,      1.910421, ,          12.5,       1.05089, , , , , 
           13,      1.086657, , , , ,            13,      1.940035, ,            13,      1.086657, , , , , 
         13.5,      1.122214, , , , ,          13.5,      1.969339, ,          13.5,      1.122214, , , , , 
           14,      1.157556, , , , ,            14,      1.998329, ,            14,      1.157556, , , , , 
         14.5,      1.192676, , , , ,          14.5,         2.027, ,          14.5,      1.192676, , , , , 
           15,      1.227567, , , , ,            15,      2.055348, ,            15,      1.227567, , , , , 
         15.5,      1.262224, , , , ,          15.5,      2.083371, ,          15.5,      1.262224, , , , , 
           16,      1.296641, , , , ,            16,      2.111064, ,            16,      1.296641, , , , , 
         16.5,      1.330812, , , , ,          16.5,      2.138425, ,          16.5,      1.330812, , , , , 
           17,       1.36473, , , , ,            17,      2.165449, ,            17,       1.36473, , , , , 
         17.5,      1.398391, , , , ,          17.5,      2.192134, ,          17.5,      1.398391, , , , , 
           18,      1.431789, , , , ,            18,      2.218477, ,            18,      1.431789, , , , , 
         18.5,      1.464918, , , , ,          18.5,      2.244476, ,          18.5,      1.464918, , , , , 
           19,      1.497774, , , , ,            19,      2.270127, ,            19,      1.497774, , , , , 
         19.5,       1.53035, , , , ,          19.5,      2.295427, ,          19.5,       1.53035, , , , , 
           20,      1.562643, , , , ,            20,      2.320376, ,            20,      1.562643, , , , , 

