Thrust ,Velocity
2.504701699,28.4
2.493493458,28.5
2.482285216,28.6
2.471076975,28.7
2.459861319,28.8
2.448588283,28.9
2.437315246,29
2.42604221,29.1
2.414769173,29.2
2.403504948,29.3
2.392245589,29.4
2.380986231,29.5
2.369726873,29.6
2.358467514,29.7
2.347208156,29.8
2.335948797,29.9
2.324689439,30
2.31343008,30.1
2.302170722,30.2
2.290911364,30.3
2.279652005,30.4
2.268367881,30.5
2.256914137,30.6
2.245460393,30.7
2.234006648,30.8
2.222442538,30.9
2.210878229,31
2.199313921,31.1
2.187749613,31.2
2.176185304,31.3
2.164620996,31.4
2.153056688,31.5
2.14149238,31.6
2.129928071,31.7
2.118363763,31.8
2.106799455,31.9
2.095235146,32
2.083670838,32.1
2.0720427,32.2
2.060023657,32.3
2.047972727,32.4
2.03591379,32.5
2.023854853,32.6
2.011795916,32.7
1.999736979,32.8
1.987678042,32.9
1.975619104,33
1.963560167,33.1
1.95150123,33.2
1.939442293,33.3
1.927383356,33.4
1.915324419,33.5
1.903265481,33.6
1.891206544,33.7
1.879147607,33.8
1.867099929,33.9
1.855059745,34
1.843019561,34.1
1.830979378,34.2
1.818939194,34.3
1.80689901,34.4
1.794858827,34.5
1.782818643,34.6
1.770778459,34.7
1.758738276,34.8
1.746698092,34.9
1.734657908,35
1.722617725,35.1
1.710577541,35.2
1.698537357,35.3
1.686497174,35.4
1.674364055,35.5
1.66213377,35.6
1.649845023,35.7
1.637556276,35.8
1.625267528,35.9
1.612978781,36
1.600690034,36.1
1.588401287,36.2
1.57611254,36.3
1.563823793,36.4
1.551535045,36.5
1.539246298,36.6
1.526957551,36.7
1.514668804,36.8
1.502380057,36.9
1.490102135,37
1.477827717,37.1
1.465553299,37.2
1.453143614,37.3
1.440653212,37.4
1.428162809,37.5
1.415672407,37.6
1.403182005,37.7
1.390691603,37.8
1.378201201,37.9
1.365710798,38
1.353220396,38.1
1.340729994,38.2
1.328239592,38.3
1.31574919,38.4
1.303246607,38.5
1.29064499,38.6
1.278043372,38.7
1.265441755,38.8
1.252840137,38.9
1.240100452,39
1.22728285,39.1
1.214465248,39.2
1.201647646,39.3
1.188830045,39.4
1.176012443,39.5
1.163194841,39.6
1.150377239,39.7
1.137559637,39.8
1.124742035,39.9
1.111924433,40
1.099132483,40.1
1.086343052,40.2
1.07355362,40.3
1.060764188,40.4
1.047974757,40.5
1.035185325,40.6
1.022226852,40.7
1.009178239,40.8
0.996129626,40.9
0.983081013,41
0.970032401,41.1
0.956983788,41.2
0.943935175,41.3
0.930886562,41.4
0.917837949,41.5
0.904763782,41.6
0.891618609,41.7
0.878473436,41.8
0.865328263,41.9
0.85218309,42
0.839037917,42.1
0.825892744,42.2
0.81274757,42.3
0.79950183,42.4
0.786205468,42.5
0.772909105,42.6
0.759612743,42.7
0.746316381,42.8
0.733020019,42.9
0.719723657,43
0.706429638,43.1
0.693168936,43.2
0.679908234,43.3
0.666647533,43.4
0.653386831,43.5
0.640126129,43.6
0.626865428,43.7
0.613604726,43.8
0.600344024,43.9
0.587083323,44
0.573778681,44.1
0.560453184,44.2
0.547127687,44.3
0.53380219,44.4
0.520476693,44.5
0.507151196,44.6
