S1223 2% HiRes
 0.59470     0.05395
 0.60456     0.05428
 0.61441     0.05455
 0.62423     0.05476
 0.63403     0.05492
 0.64381     0.05501
 0.65356     0.05505
 0.66328     0.05502
 0.67298     0.05493
 0.68265     0.05478
 0.69229     0.05456
 0.70190     0.05429
 0.71148     0.05394
 0.72102     0.05353
 0.73052     0.05306
 0.73997     0.05252
 0.74936     0.05191
 0.75871     0.05124
 0.76800     0.05050
 0.77722     0.04968
 0.78639     0.04880
 0.79549     0.04785
 0.80453     0.04682
 0.81348     0.04572
 0.82235     0.04456
 0.83112     0.04332
 0.83978     0.04202
 0.84833     0.04064
 0.85675     0.03920
 0.86503     0.03770
 0.87316     0.03612
 0.88112     0.03449
 0.88892     0.03280
 0.89652     0.03105
 0.90391     0.02925
 0.91108     0.02741
 0.91802     0.02553
 0.92470     0.02361
 0.93112     0.02165
 0.93728     0.01966
 0.94319     0.01763
 0.94884     0.01555
 0.95426     0.01343
 0.95946     0.01124
 0.96446     0.00899
 0.96928     0.00665
 0.97395     0.00423
 0.97849     0.00171
 0.98292    -0.00091
 0.98726    -0.00360
 0.99148    -0.00633
 0.99423    -0.00817
