Velocity (m/s),Thrust(kgf),,velocity (m/s),thrust (kgf)
,,,19.1,3.699947341
,,,19.2,3.686793632
,,,19.3,3.673639923
,,,19.4,3.660486213
,,,19.5,3.647332504
,,,19.6,3.634178794
,,,19.7,3.621025085
,,,19.8,3.607871376
,,,19.9,3.594717666
,,,20,3.581563957
,,,20.1,3.568410247
,,,20.2,3.555256538
,,,20.3,3.542047376
,,,20.4,3.528471425
,,,20.5,3.514861787
,,,20.6,3.501252148
,,,20.7,3.48764251
,,,20.8,3.474032871
,,,20.9,3.460423233
,,,21,3.446813594
,,,21.1,3.433203956
,,,21.2,3.419594317
,,,21.3,3.405984679
,,,21.4,3.39237504
,,,21.5,3.378765402
,,,21.6,3.365155763
,,,21.7,3.351546125
,,,21.8,3.337713693
,,,21.9,3.323766345
,,,22,3.309730468
,,,22.1,3.295694591
,,,22.2,3.281658715
,,,22.3,3.267622838
,,,22.4,3.253586961
,,,22.5,3.239551085
,,,22.6,3.225515208
,,,22.7,3.211479331
,,,22.8,3.197443455
,,,22.9,3.183407578
,,,23,3.169371701
,,,23.1,3.155335825
,,,23.2,3.141245845
,,,23.3,3.12695991
,,,23.4,3.112673975
,,,23.5,3.098324399
,,,23.6,3.083919331
,,,23.7,3.069514263
,,,23.8,3.055109195
,,,23.9,3.040704127
,,,24,3.026299059
,,,24.1,3.011893991
,,,24.2,2.997488923
,,,24.3,2.983083855
,,,24.4,2.968678787
,,,24.5,2.954273719
,,,24.6,2.939868652
,,,24.7,2.925280371
,,,24.8,2.910625245
,,,24.9,2.895970118
,,,25,2.881314992
,,,25.1,2.866543232
,,,25.2,2.851756798
,,,25.3,2.836970364
,,,25.4,2.822183929
,,,25.5,2.807397495
,,,25.6,2.792611061
,,,25.7,2.777824627
,,,25.8,2.763038193
,,,25.9,2.748251758
,,,26,2.733465324
,,,26.1,2.718622287
,,,26.2,2.703608527
,,,26.3,2.688594767
,,,26.4,2.673581007
,,,26.5,2.658567246
,,,26.6,2.643529628
,,,26.7,2.628432737
,,,26.8,2.613335846
,,,26.9,2.598238954
,,,27,2.583142063
,,,27.1,2.568045171
,,,27.2,2.55294828
,,,27.3,2.537851389
,,,27.4,2.522754497
,,,27.5,2.507657606
,,,27.6,2.492386739
,,,27.7,2.477062522
,,,27.8,2.461738305
,,,27.9,2.446414088
,,,28,2.43108987
,,,28.1,2.415765653
,,,28.2,2.400380341
,,,28.3,2.384960817
,,,28.4,2.369541294
,,,28.5,2.35412177
,,,28.6,2.338702247
,,,28.7,2.323282723
,,,28.8,2.3078632
,,,28.9,2.292443676
,,,29,2.276972936
,,,29.1,2.261371551
,,,29.2,2.245770167
,,,29.3,2.230168783
,,,29.4,2.214567398
,,,29.5,2.198966014
,,,29.6,2.18336463
,,,29.7,2.167763246
,,,29.8,2.152054093
,,,29.9,2.136344409
,,,30,2.120634724
,,,30.1,2.104925039
,,,30.2,2.089215355
,,,30.3,2.07350567
,,,30.4,2.057795985
,,,30.5,2.041941186
,,,30.6,2.02604964
,,,30.7,2.010158095
,,,30.8,1.994266549
,,,30.9,1.978375004
,,,31,1.962483459
,,,31.1,1.946591913
,,,31.2,1.930700368
,,,31.3,1.914782661
,,,31.4,1.898824688
,,,31.5,1.882866715
,,,31.6,1.866908742
,,,31.7,1.850950769
,,,31.8,1.834992796
,,,31.9,1.818984815
,,,32,1.802867714
,,,32.1,1.786750612
,,,32.2,1.770633511
,,,32.3,1.75451641
,,,32.4,1.738399309
,,,32.5,1.722282207
,,,32.6,1.706165106
,,,32.7,1.690048005
,,,32.8,1.673930904
,,,32.9,1.657754405
,,,33,1.641557882
,,,33.1,1.625361359
,,,33.2,1.609164836
,,,33.3,1.592968313
,,,33.4,1.576677384
,,,33.5,1.560367198
,,,33.6,1.544057012
,,,33.7,1.527746826
,,,33.8,1.51143664
,,,33.9,1.495126454
,,,34,1.478816267
,,,34.1,1.462506081
,,,34.2,1.446195895
,,,34.3,1.429885709
,,,34.4,1.413567658
,,,34.5,1.397180303
,,,34.6,1.380792948
,,,34.7,1.364405593
,,,34.8,1.347986695
,,,34.9,1.33150841
,,,35,1.315030125
,,,35.1,1.298551839
,,,35.2,1.282073554
,,,35.3,1.265595269
,,,35.4,1.249116983
,,,35.5,1.232638698
,,,35.6,1.216160413
,,,35.7,1.199682128
,,,35.8,1.183203842
,,,35.9,1.166725557
,,,36,1.150230238
,,,36.1,1.133717931
,,,36.2,1.117205624
,,,36.3,1.100614825
,,,36.4,1.084011588
,,,36.5,1.06740835
,,,36.6,1.050805113
,,,36.7,1.034201876
,,,36.8,1.017598638
,,,36.9,1.000995401
,,,37,0.984392164
,,,37.1,0.967788926
,,,37.2,0.951185689
,,,37.3,0.934582452
,,,37.4,0.917979214
,,,37.5,0.901375977
,,,37.6,0.884720125
,,,37.7,0.868046703
,,,37.8,0.851359175
,,,37.9,0.834671648
,,,38,0.81798412
,,,38.1,0.801296592
,,,38.2,0.784609065
,,,38.3,0.767921537
,,,38.4,0.75123401
,,,38.5,0.734546482
,,,38.6,0.717858955
,,,38.7,0.701171427
,,,38.8,0.6844839
,,,38.9,0.667796372
,,,39,0.651108844
,,,39.1,0.634416789
,,,39.2,0.617731762
,,,39.3,0.601049103
,,,39.4,0.584366444
,,,39.5,0.567683784
,,,39.6,0.551001125
,,,39.7,0.534318466
,,,39.8,0.517635807
,,,39.9,0.500953148
,,,40,0.484270488
