Alpha,M1 Takeoff, , Alpha,M1cruise, , Alpha,M2 cruise, , Alpha,M2 takeoff, , Alpha,M3 cruise, , Alpha,M3 takeoff, , 
           -2,     0.1183378, ,            -2,   0.002679211, ,            -2,   0.002642568, ,            -2,       0.11776, ,            -2,   0.002642568, ,            -2,       0.11776, , 
         -1.5,     0.1196055, ,          -1.5,   0.001931323, ,          -1.5,   0.001900724, ,          -1.5,     0.1191166, ,          -1.5,   0.001900724, ,          -1.5,     0.1191166, , 
           -1,     0.1211003, ,            -1,   0.001423509, ,            -1,   0.001400095, ,            -1,     0.1207019, ,            -1,   0.001400095, ,            -1,     0.1207019, , 
         -0.5,     0.1228215, ,          -0.5,   0.001156178, ,          -0.5,   0.001141085, ,          -0.5,     0.1225151, ,          -0.5,   0.001141085, ,          -0.5,     0.1225151, , 
            0,     0.1247684, ,             0,   0.001129555, ,             0,   0.001123917, ,             0,     0.1245556, ,             0,   0.001123917, ,             0,     0.1245556, , 
          0.5,     0.1269398, ,           0.5,   0.001343681, ,           0.5,   0.001348626, ,           0.5,     0.1268221, ,           0.5,   0.001348626, ,           0.5,     0.1268221, , 
            1,     0.1293346, ,             1,   0.001798414, ,             1,   0.001815065, ,             1,     0.1293134, ,             1,   0.001815065, ,             1,     0.1293134, , 
          1.5,     0.1319515, ,           1.5,   0.002493431, ,           1.5,   0.002522902, ,           1.5,     0.1320282, ,           1.5,   0.002522902, ,           1.5,     0.1320282, , 
            2,     0.1347888, ,             2,   0.003428222, ,             2,   0.003471623, ,             2,     0.1349647, ,             2,   0.003471623, ,             2,     0.1349647, , 
          2.5,      0.137845, ,           2.5,   0.004602098, ,           2.5,   0.004660527, ,           2.5,     0.1381214, ,           2.5,   0.004660527, ,           2.5,     0.1381214, , 
            3,     0.1411181, ,             3,   0.006014184, ,             3,   0.006088734, ,             3,     0.1414962, ,             3,   0.006088734, ,             3,     0.1414962, , 
          3.5,      0.144606, ,           3.5,   0.007663426, ,           3.5,   0.007755177, ,           3.5,     0.1450869, ,           3.5,   0.007755177, ,           3.5,     0.1450869, , 
            4,     0.1483065, ,             4,    0.00954859, ,             4,   0.009658612, ,             4,     0.1488914, ,             4,   0.009658612, ,             4,     0.1488914, , 
          4.5,     0.1522172, ,           4.5,    0.01166826, ,           4.5,    0.01179761, ,           4.5,     0.1529072, ,           4.5,    0.01179761, ,           4.5,     0.1529072, , 
            5,     0.1563356, ,             5,    0.01402084, ,             5,    0.01417056, ,             5,     0.1571316, ,             5,    0.01417056, ,             5,     0.1571316, , 
          5.5,     0.1606588, ,           5.5,    0.01660456, ,           5.5,    0.01677569, ,           5.5,     0.1615618, ,           5.5,    0.01677569, ,           5.5,     0.1615618, , 
            6,     0.1651841, ,             6,    0.01941746, ,             6,    0.01961102, ,             6,     0.1661949, ,             6,    0.01961102, ,             6,     0.1661949, , 
          6.5,     0.1699083, ,           6.5,    0.02245743, ,           6.5,    0.02267442, ,           6.5,     0.1710278, ,           6.5,    0.02267442, ,           6.5,     0.1710278, , 
            7,     0.1748283, ,             7,    0.02572216, ,             7,    0.02596357, ,             7,     0.1760571, ,             7,    0.02596357, ,             7,     0.1760571, , 
          7.5,     0.1799406, ,           7.5,    0.02920919, ,           7.5,    0.02947599, ,           7.5,     0.1812795, ,           7.5,    0.02947599, ,           7.5,     0.1812795, , 
            8,     0.1852417, ,             8,    0.03291587, ,             8,    0.03320902, ,             8,     0.1866913, ,             8,    0.03320902, ,             8,     0.1866913, , 
          8.5,      0.190728, ,           8.5,     0.0368394, ,           8.5,    0.03715982, ,           8.5,     0.1922888, ,           8.5,    0.03715982, ,           8.5,     0.1922888, , 
            9,     0.1963955, ,             9,    0.04097678, ,             9,    0.04132541, ,             9,     0.1980681, ,             9,    0.04132541, ,             9,     0.1980681, , 
          9.5,     0.2022404, ,           9.5,    0.04532489, ,           9.5,    0.04570262, ,           9.5,     0.2040252, ,           9.5,    0.04570262, ,           9.5,     0.2040252, , 
           10,     0.2082584, ,            10,    0.04988042, ,            10,    0.05028812, ,            10,     0.2101558, ,            10,    0.05028812, ,            10,     0.2101558, , 
         10.5,     0.2144453, ,          10.5,     0.0546399, ,          10.5,    0.05507844, ,          10.5,     0.2164555, ,          10.5,    0.05507844, ,          10.5,     0.2164555, , 
           11,     0.2207968, ,            11,    0.05959971, ,            11,    0.06006992, ,            11,       0.22292, ,            11,    0.06006992, ,            11,       0.22292, , 
         11.5,     0.2273081, ,          11.5,    0.06475607, ,          11.5,    0.06525877, ,          11.5,     0.2295447, ,          11.5,    0.06525877, ,          11.5,     0.2295447, , 
           12,     0.2339747, ,            12,    0.07010506, ,            12,    0.07064103, ,            12,     0.2363247, ,            12,    0.07064103, ,            12,     0.2363247, , 
         12.5,     0.2407918, ,          12.5,    0.07564258, ,          12.5,     0.0762126, ,          12.5,     0.2432551, ,          12.5,     0.0762126, ,          12.5,     0.2432551, , 
           13,     0.2477543, ,            13,    0.08136441, ,            13,    0.08196923, ,            13,     0.2503311, ,            13,    0.08196923, ,            13,     0.2503311, , 
         13.5,     0.2548573, ,          13.5,    0.08726618, ,          13.5,    0.08790651, ,          13.5,     0.2575474, ,          13.5,    0.08790651, ,          13.5,     0.2575474, , 
           14,     0.2620956, ,            14,    0.09334338, ,            14,    0.09401992, ,            14,     0.2648987, ,            14,    0.09401992, ,            14,     0.2648987, , 
         14.5,     0.2694638, ,          14.5,    0.09959135, ,          14.5,     0.1003048, ,          14.5,     0.2723799, ,          14.5,     0.1003048, ,          14.5,     0.2723799, , 
           15,     0.2769565, ,            15,     0.1060053, ,            15,     0.1067562, ,            15,     0.2799852, ,            15,     0.1067562, ,            15,     0.2799852, , 
         15.5,     0.2845683, ,          15.5,     0.1125803, ,          15.5,     0.1133694, ,          15.5,     0.2877093, ,          15.5,     0.1133694, ,          15.5,     0.2877093, , 
           16,     0.2922934, ,            16,     0.1193114, ,            16,     0.1201392, ,            16,     0.2955463, ,            16,     0.1201392, ,            16,     0.2955463, , 
         16.5,     0.3001263, ,          16.5,     0.1261932, ,          16.5,     0.1270603, ,          16.5,     0.3034905, ,          16.5,     0.1270603, ,          16.5,     0.3034905, , 
           17,      0.308061, ,            17,     0.1332207, ,            17,     0.1341276, ,            17,      0.311536, ,            17,     0.1341276, ,            17,      0.311536, , 
         17.5,     0.3160916, ,          17.5,     0.1403883, ,          17.5,     0.1413355, ,          17.5,     0.3196768, ,          17.5,     0.1413355, ,          17.5,     0.3196768, , 
           18,     0.3242121, ,            18,     0.1476905, ,            18,     0.1486785, ,            18,     0.3279068, ,            18,     0.1486785, ,            18,     0.3279068, , 
         18.5,     0.3324165, ,          18.5,     0.1551217, ,          18.5,      0.156151, ,          18.5,     0.3362199, ,          18.5,      0.156151, ,          18.5,     0.3362199, , 
           19,     0.3406985, ,            19,     0.1626761, ,            19,     0.1637471, ,            19,     0.3446099, ,            19,     0.1637471, ,            19,     0.3446099, , 
         19.5,      0.349052, ,          19.5,      0.170348, ,          19.5,      0.171461, ,          19.5,     0.3530704, ,          19.5,      0.171461, ,          19.5,     0.3530704, , 
           20,     0.3574705, ,            20,     0.1781313, ,            20,     0.1792867, ,            20,      0.361595, ,            20,     0.1792867, ,            20,      0.361595, , 

