Alpha,M1 Takeoff, , Alpha,M1cruise, , Alpha,M2 cruise, , Alpha,M2 takeoff, , Alpha,M3 cruise, , Alpha,M3 takeoff, , 
         -2.5,     0.7995357, ,          -2.5,    -0.1157278, ,          -2.5,    -0.1136688, ,          -2.5,     0.8161908, ,          -2.5,    -0.1136688, ,          -2.5,     0.8161908, , 
           -2,      0.838898, ,            -2,   -0.07603039, ,            -2,   -0.07398296, ,            -2,     0.8555687, ,            -2,   -0.07398296, ,            -2,     0.8555687, , 
         -1.5,     0.8781852, ,          -1.5,   -0.03630369, ,          -1.5,   -0.03426796, ,          -1.5,     0.8948687, ,          -1.5,   -0.03426796, ,          -1.5,     0.8948687, , 
           -1,      0.917388, ,            -1,   0.003443044, ,            -1,   0.005466817, ,            -1,     0.9340815, ,            -1,   0.005466817, ,            -1,     0.9340815, , 
         -0.5,     0.9564973, ,          -0.5,    0.04320049, ,          -0.5,    0.04521204, ,          -0.5,      0.973198, ,          -0.5,    0.04521204, ,          -0.5,      0.973198, , 
            0,     0.9955039, ,             0,    0.08295931, ,             0,    0.08495834, ,             0,      1.012209, ,             0,    0.08495834, ,             0,      1.012209, , 
          0.5,      1.034399, ,           0.5,     0.1227102, ,           0.5,     0.1246964, ,           0.5,      1.051105, ,           0.5,     0.1246964, ,           0.5,      1.051105, , 
            1,      1.073173, ,             1,     0.1624438, ,             1,     0.1644167, ,             1,      1.089878, ,             1,     0.1644167, ,             1,      1.089878, , 
          1.5,      1.111817, ,           1.5,     0.2021507, ,           1.5,     0.2041101, ,           1.5,      1.128518, ,           1.5,     0.2041101, ,           1.5,      1.128518, , 
            2,      1.150322, ,             2,     0.2418218, ,             2,     0.2437672, ,             2,      1.167015, ,             2,     0.2437672, ,             2,      1.167015, , 
          2.5,       1.18868, ,           2.5,     0.2814476, ,           2.5,     0.2833786, ,           2.5,      1.205362, ,           2.5,     0.2833786, ,           2.5,      1.205362, , 
            3,      1.226881, ,             3,     0.3210189, ,             3,      0.322935, ,             3,      1.243549, ,             3,      0.322935, ,             3,      1.243549, , 
          3.5,      1.264916, ,           3.5,     0.3605266, ,           3.5,     0.3624272, ,           3.5,      1.281568, ,           3.5,     0.3624272, ,           3.5,      1.281568, , 
            4,      1.302777, ,             4,     0.3999612, ,             4,     0.4018459, ,             4,      1.319409, ,             4,     0.4018459, ,             4,      1.319409, , 
          4.5,      1.340455, ,           4.5,     0.4393137, ,           4.5,      0.441182, ,           4.5,      1.357063, ,           4.5,      0.441182, ,           4.5,      1.357063, , 
            5,      1.377941, ,             5,      0.478575, ,             5,     0.4804262, ,             5,      1.394523, ,             5,     0.4804262, ,             5,      1.394523, , 
          5.5,      1.415227, ,           5.5,     0.5177359, ,           5.5,     0.5195694, ,           5.5,       1.43178, ,           5.5,     0.5195694, ,           5.5,       1.43178, , 
            6,      1.452304, ,             6,     0.5567874, ,             6,     0.5586026, ,             6,      1.468824, ,             6,     0.5586026, ,             6,      1.468824, , 
          6.5,      1.489165, ,           6.5,     0.5957205, ,           6.5,     0.5975168, ,           6.5,      1.505648, ,           6.5,     0.5975168, ,           6.5,      1.505648, , 
            7,      1.525799, ,             7,     0.6345263, ,             7,      0.636303, ,             7,      1.542243, ,             7,      0.636303, ,             7,      1.542243, , 
          7.5,        1.5622, ,           7.5,     0.6731959, ,           7.5,     0.6749524, ,           7.5,      1.578601, ,           7.5,     0.6749524, ,           7.5,      1.578601, , 
            8,       1.59836, ,             8,     0.7117207, ,             8,     0.7134561, ,             8,      1.614715, ,             8,     0.7134561, ,             8,      1.614715, , 
          8.5,      1.634269, ,           8.5,     0.7500917, ,           8.5,     0.7518053, ,           8.5,      1.650575, ,           8.5,     0.7518053, ,           8.5,      1.650575, , 
            9,      1.669921, ,             9,     0.7883005, ,             9,     0.7899915, ,             9,      1.686174, ,             9,     0.7899915, ,             9,      1.686174, , 
          9.5,      1.705308, ,           9.5,     0.8263385, ,           9.5,     0.8280061, ,           9.5,      1.721504, ,           9.5,     0.8280061, ,           9.5,      1.721504, , 
           10,      1.740421, ,            10,     0.8641971, ,            10,     0.8658406, ,            10,      1.756558, ,            10,     0.8658406, ,            10,      1.756558, , 
         10.5,      1.775254, ,          10.5,     0.9018682, ,          10.5,     0.9034866, ,          10.5,      1.791327, ,          10.5,     0.9034866, ,          10.5,      1.791327, , 
           11,      1.809798, ,            11,     0.9393433, ,            11,     0.9409359, ,            11,      1.825806, ,            11,     0.9409359, ,            11,      1.825806, , 
         11.5,      1.844047, ,          11.5,     0.9766143, ,          11.5,     0.9781801, ,          11.5,      1.859985, ,          11.5,     0.9781801, ,          11.5,      1.859985, , 
           12,      1.877993, ,            12,      1.013673, ,            12,      1.015211, ,            12,      1.893858, ,            12,      1.015211, ,            12,      1.893858, , 
         12.5,       1.91163, ,          12.5,      1.050512, ,          12.5,      1.052022, ,          12.5,      1.927418, ,          12.5,      1.052022, ,          12.5,      1.927418, , 
           13,       1.94495, ,            13,      1.087123, ,            13,      1.088603, ,            13,      1.960658, ,            13,      1.088603, ,            13,      1.960658, , 
         13.5,      1.977947, ,          13.5,      1.123498, ,          13.5,      1.124948, ,          13.5,      1.993571, ,          13.5,      1.124948, ,          13.5,      1.993571, , 
           14,      2.010613, ,            14,       1.15963, ,            14,      1.161048, ,            14,      2.026151, ,            14,      1.161048, ,            14,      2.026151, , 
         14.5,      2.042944, ,          14.5,      1.195512, ,          14.5,      1.196897, ,          14.5,      2.058391, ,          14.5,      1.196897, ,          14.5,      2.058391, , 
           15,      2.074931, ,            15,      1.231135, ,            15,      1.232487, ,            15,      2.090285, ,            15,      1.232487, ,            15,      2.090285, , 
         15.5,      2.106569, ,          15.5,      1.266493, ,          15.5,      1.267811, ,          15.5,      2.121827, ,          15.5,      1.267811, ,          15.5,      2.121827, , 
           16,      2.137853, ,            16,      1.301579, ,            16,      1.302861, ,            16,       2.15301, ,            16,      1.302861, ,            16,       2.15301, , 
         16.5,      2.168776, ,          16.5,      1.336386, ,          16.5,      1.337632, ,          16.5,      2.183829, ,          16.5,      1.337632, ,          16.5,      2.183829, , 
           17,      2.199332, ,            17,      1.370907, ,            17,      1.372115, ,            17,      2.214278, ,            17,      1.372115, ,            17,      2.214278, , 
         17.5,      2.229516, ,          17.5,      1.405135, ,          17.5,      1.406304, ,          17.5,      2.244352, ,          17.5,      1.406304, ,          17.5,      2.244352, , 
           18,      2.259323, ,            18,      1.439064, ,            18,      1.440193, ,            18,      2.274046, ,            18,      1.440193, ,            18,      2.274046, , 
         18.5,      2.288747, ,          18.5,      1.472688, ,          18.5,      1.473776, ,          18.5,      2.303353, ,          18.5,      1.473776, ,          18.5,      2.303353, , 
           19,      2.317784, ,            19,         1.506, ,            19,      1.507046, ,            19,       2.33227, ,            19,      1.507046, ,            19,       2.33227, , 
         19.5,      2.346428, ,          19.5,      1.538994, ,          19.5,      1.539998, ,          19.5,       2.36079, ,          19.5,      1.539998, ,          19.5,       2.36079, , 
           20,      2.374675, ,            20,      1.571666, ,            20,      1.572625, ,            20,      2.388911, ,            20,      1.572625, ,            20,      2.388911, , 

