Speed (m/s),Thrust (kgf)
32.4,3.537206754
32.5,3.518008771
32.6,3.498810788
32.7,3.479612805
32.8,3.460414822
32.9,3.441216839
33,3.422018856
33.1,3.402820873
33.2,3.38362289
33.3,3.364424907
33.4,3.345226924
33.5,3.32602894
33.6,3.306830957
33.7,3.287632974
33.8,3.268434991
33.9,3.249142722
34,3.229794239
34.1,3.210108733
34.2,3.190423228
34.3,3.170737722
34.4,3.151052217
34.5,3.131366711
34.6,3.111681206
34.7,3.0919957
34.8,3.072310194
34.9,3.052624689
35,3.032939183
35.1,3.013253678
35.2,2.993568172
35.3,2.973882666
35.4,2.954197161
35.5,2.934434827
35.6,2.914629556
35.7,2.894824284
35.8,2.874965625
35.9,2.854815188
36,2.834664751
36.1,2.814514314
36.2,2.794363876
36.3,2.774213439
36.4,2.754063002
36.5,2.733912565
36.6,2.713762128
36.7,2.693611691
36.8,2.673461254
36.9,2.653310816
37,2.633160379
37.1,2.612976578
37.2,2.592765314
37.3,2.572554049
37.4,2.552342785
37.5,2.53213152
37.6,2.511851923
37.7,2.491390886
37.8,2.47092985
37.9,2.450468813
38,2.430007777
38.1,2.40954674
38.2,2.389085704
38.3,2.368624667
38.4,2.348163631
38.5,2.327702594
38.6,2.307241557
38.7,2.286785647
38.8,2.266335865
38.9,2.245886083
39,2.2254363
39.1,2.204986518
39.2,2.184536735
39.3,2.164086953
39.4,2.143570025
39.5,2.122949166
39.6,2.102328306
39.7,2.081707447
39.8,2.061086588
39.9,2.040465729
40,2.01984487
40.1,1.999224011
40.2,1.978603151
40.3,1.957987576
40.4,1.937383342
40.5,1.916779108
40.6,1.896174874
40.7,1.87557064
40.8,1.854966405
40.9,1.834362171
41,1.813757937
41.1,1.793153703
41.2,1.772496976
41.3,1.751790095
41.4,1.731083215
41.5,1.710376335
41.6,1.689669455
41.7,1.668962574
41.8,1.648255694
41.9,1.62756933
42,1.606953691
42.1,1.586338051
42.2,1.565722412
42.3,1.545106773
42.4,1.524491134
42.5,1.503875494
42.6,1.483259855
42.7,1.462644216
42.8,1.442028576
42.9,1.421412937
43,1.400798406
43.1,1.380184524
43.2,1.359570643
43.3,1.338956761
43.4,1.318342879
43.5,1.29775177
43.6,1.277310569
43.7,1.256869369
43.8,1.236428168
43.9,1.215986967
44,1.195545767
44.1,1.175104566
44.2,1.154663366
44.3,1.134222165
44.4,1.113780965
44.5,1.093339764
44.6,1.072898563
44.7,1.052457363
44.8,1.032039029
44.9,1.011630286
45,0.991221543
45.1,0.9708128
45.2,0.950587664
45.3,0.9303636
45.4,0.910139537
45.5,0.889915473
45.6,0.86969141
45.7,0.849467346
45.8,0.829243282
45.9,0.809019219
46,0.788795155
46.1,0.768571092
46.2,0.748347028
46.3,0.728122965
46.4,0.707898901
46.5,0.687674838
46.6,0.667571921
46.7,0.647494984
